wl,n,k
0.300,1.250,0.000
0.350,1.235,0.000
0.400,1.228,0.000
0.450,1.224,0.000
0.500,1.221,0.000
0.550,1.219,0.000
0.600,1.217,0.000
0.650,1.216,0.000
0.700,1.215,0.000
0.750,1.214,0.000
0.800,1.213,0.000
0.850,1.213,0.000
0.900,1.212,0.000
0.950,1.212,0.000
1.000,1.211,0.000
1.050,1.211,0.000
1.100,1.210,0.000
1.150,1.210,0.000
1.200,1.210,0.000
